CC_bin,count,avg_price
875-1374,641,23137.909516380656
1375-1874,2482,22435.05237711523
1875-2374,5799,34937.55664769788
2375-2874,3418,36445.32299590404
2875-3374,2433,47466.99588984792
3375-3874,1174,32897.23424190801
3875-4374,376,54727.54255319149
4375-4874,252,94716.38888888889
4875-5374,110,80175.07272727272
5375-5874,118,64260.65254237288
5875-6374,217,56501.059907834104
6375-6874,27,73962.22222222222
6875-7374,1,84990.0
